plot,elevation,mean_shrub_size,mean_artr_size,artr_density,shrub_density,slope,aspect,long,lat,map,mat,basin,flor_test,max_artr_age,mean_artr_age,SnowOfPPT_fraction_mean,PET_mm_mean,Seasonality_monthlyTandPPT_PearsonCor_mean,UNAridityIndex_Annual_none_mean,WetSpellDuration_m5_days_mean,WetSpellDuration_m6_days_mean,WetSpellDuration_m7_days_mean,WetSpellDuration_m8_days_mean,DrySpellDuration_m5_days_mean,DrySpellDuration_m6_days_mean,DrySpellDuration_m7_days_mean,DrySpellDuration_m8_days_mean,DrySpells_Annual_count_mean,AET_mm_mean,Rain_mm_mean,Snowfall_mm_mean,SWP_bottomLayers_DailyMin_MPa_mean,WetDegreeDays_SWPcrit1500kPa_topLayers_Cdays_mean,WetDegreeDays_SWPcrit1500kPa_bottomLayers_Cdays_mean,WetDegreeDays_SWPcrit1500kPa_anyLayer_Cdays_mean,SoilPeriods_WarmDry_allLayers_TcritPos5C_SWPcrit3900kPa_Count_days_mean,SoilPeriods_WarmDry_allLayers_TcritPos15C_SWPcrit3900kPa_Count_days_mean,SoilPeriods_WarmDry_allLayers_TcritPos25C_SWPcrit3900kPa_Count_days_mean,SoilPeriods_WarmDry_allLayers_TcritPos35C_SWPcrit3900kPa_Count_days_mean,SoilPeriods_WarmWet_allLayers_TcritPos5C_SWPcrit1500kPa_Count_days_mean,SoilPeriods_WarmWet_allLayers_TcritPos15C_SWPcrit1500kPa_Count_days_mean,SoilPeriods_WarmWet_allLayers_TcritPos25C_SWPcrit1500kPa_Count_days_mean,SoilPeriods_WarmWet_allLayers_TcritPos35C_SWPcrit1500kPa_Count_days_mean,SoilPeriods_WarmDry_topLayer_TcritPos5C_SWPcrit3900kPa_Count_days_mean,SoilPeriods_WarmDry_topLayer_TcritPos15C_SWPcrit3900kPa_Count_days_mean,SoilPeriods_WarmDry_topLayer_TcritPos25C_SWPcrit3900kPa_Count_days_mean,SoilPeriods_WarmDry_topLayer_TcritPos35C_SWPcrit3900kPa_Count_days_mean,SoilPeriods_WarmWet_topLayer_TcritPos5C_SWPcrit1500kPa_Count_days_mean,SoilPeriods_WarmWet_topLayer_TcritPos15C_SWPcrit1500kPa_Count_days_mean,SoilPeriods_WarmWet_topLayer_TcritPos25C_SWPcrit1500kPa_Count_days_mean,SoilPeriods_WarmWet_topLayer_TcritPos35C_SWPcrit1500kPa_Count_days_mean,DrySoilPeriods_SWPcrit3900kPa_NSadj_topLayers_Duration_Total_months_mean,WetSoilPeriods_SWPcrit1500kPa_NSadj_topLayers_AnyLayerWet_Duration_Total_days_mean,WetSoilPeriods_SWPcrit1500kPa_NSadj_bottomLayers_AnyLayerWet_Duration_Total_days_mean,WetSoilPeriods_SWPcrit1500kPa_NSadj_topLayers_AllLayersWet_Duration_Total_days_mean,WetSoilPeriods_SWPcrit1500kPa_NSadj_bottomLayers_AllLayersWet_Duration_Total_days_mean,DrySoilPeriods_SWPcrit3900kPa_NSadj_topLayers_AllLayersDry_Duration_Total_days_mean,DrySoilPeriods_SWPcrit3900kPa_NSadj_bottomLayers_AllLayersDry_Duration_Total_days_mean,ThermalSnowfreeWetPeriods_SWPcrit1500kPa_topLayers_Duration_days_quantile0_5,ThermalSnowfreeWetPeriods_SWPcrit1500kPa_bottomLayers_Duration_days_quantile0_5,DrySoilPeriods_SWPcrit3900kPa_MonthJJA_topLayers_Duration_days_quantile0_5,DrySoilPeriods_SWPcrit3900kPa_MonthJJA_bottomLayers_Duration_days_quantile0_5,DrySoilPeriods_SWPcrit3900kPa_Annual_topLayers_count_mean,DrySoilPeriods_SWPcrit3900kPa_Annual_bottomLayers_count_mean,SWPmatric_topLayers_m6_MPa_FromVWCmean,SWPmatric_topLayers_m7_MPa_FromVWCmean,SWPmatric_topLayers_m8_MPa_FromVWCmean,SWPmatric_bottomLayers_m6_MPa_FromVWCmean,SWPmatric_bottomLayers_m7_MPa_FromVWCmean,SWPmatric_bottomLayers_m8_MPa_FromVWCmean,SWAbulk_SWPcrit3900kPa_topLayers_m1_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m2_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m3_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m4_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m5_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m6_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m7_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m8_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m9_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m10_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m11_mm_mean,SWAbulk_SWPcrit3900kPa_topLayers_m12_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m1_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m2_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m3_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m4_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m5_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m6_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m7_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m8_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m9_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m10_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m11_mm_mean,SWAbulk_SWPcrit3900kPa_bottomLayers_m12_mm_mean,mean1000,mean400,mean1,mean2,mean3,mean4,mean5,min1,min2,min3,min4,min5,max1,max2,max3,max4,max5,sand.total,silt.total,clay.total,sand.10,sand.20,sand.30,silt.10,silt.20,silt.30,clay.10,clay.20,clay.30,ec.total,ec.10,ec.20,ec.30
1,2019.44,3.57,4.85,0.53,2.28,2,252,-109.606923,42.164841,194.53,7.5999999,Green River,1,90.61224,79.36465,0.240270581,1030.758082,0.358324712,0.197131856,3.096466974,2.825729647,2.380721966,2.256490015,4.962058372,6.373655914,5.879800307,5.294854071,43.48387097,190.9588089,154.3064516,47.99032258,-4.187004451,198.4243548,70.94580645,223.7633871,84.32258065,37.93548387,0.032258065,0,1.451612903,0,0,0,128.0967742,57.96774194,0.032258065,0,17.48387097,1.677419355,0,0,7.741935484,70.06451613,24.93548387,12.38709677,14.87096774,227.9032258,206.9354839,10,0,40,91,8.064516129,1.419354839,-3.548920803,-5.118008078,-4.933061147,-3.308301906,-3.873199569,-3.930140552,0,0,0,0,1.048017174,0.473067048,0,0,0.805983242,0,0,0,0,0,1.687875238,0,0,4.556540095,0,0,0.885112531,0,0,3.001899384,21,19,13.5,8.25,4.625,1.75,0.375,11,4,3,0,0,17,11,7,4,1,69.99163,13.706334,16.302873,71.13048,70.66381,71.15746,13.20575,13.599367,11.83518,15.666275,15.736823,17.007363,0.13846154,0.125,0.125,0.15
2,2064.75,3.16,3.76,2.26,0.73,2,15,-109.37183,41.84899,214.69,7.54,Green River,1,97.16763,73.86114,0.293518695,1058.603634,0.201229367,0.209748123,3.245852535,2.665591398,2.344546851,2.493343574,3.946236559,5.605337942,4.653072197,4.26765233,50.67741935,208.4143867,156.9258065,64.23225806,-4.458519084,167.2830645,54.08741935,197.5390323,49.64516129,27.58064516,0.032258065,0,0.548387097,0.032258065,0,0,138.9677419,73.19354839,0.032258065,0,13.70967742,1.032258065,0,0,7.451612903,91.48387097,20.25806452,10.74193548,3,188.8064516,138.9354839,8,0,31,91,7.290322581,1.161290323,-4.263434698,-5.484716436,-5.800646347,-3.325461939,-3.938880574,-4.076339916,0,0,1.236588196,0,0.416162313,0,0,0,0,0,1.013718213,1.193772959,0,0,1.613597607,0,0.004294284,3.464275619,0,0,0,0,0,0.695145788,26,22,17,10.25,6.25,3.125,1.125,14,7,4,0,0,21,13,9,5,3,64.57345,16.00773,19.418818,64.45571,62.97847,62.92474,17.829585,15.81115,15.299325,17.714703,21.21038,21.775932,0.1,0.1,0.1,0.1
3,2202.59,3.86,3.26,2.45,2.26,5,314,-110.050036,42.236732,252.78,6.96,Green River,1,67,66.11154,0.273989036,978.2740945,0.342305293,0.235546283,3.303763441,2.661904762,2.477880184,2.073579109,4.919354839,5.688786482,5.800768049,4.987980031,45.09677419,216.8126566,167.7258065,62.01935484,-3.755467529,278.5498387,199.8467742,342.0825806,6.419354839,1.806451613,0,0,6.032258065,0.387096774,0,0,109.6129032,45.80645161,0,0,23.67741935,2.193548387,0,0,5.612903226,110.7096774,50.06451613,25.06451613,44.35483871,83.25806452,27.38709677,14,0,30,40,6.580645161,0.64516129,-2.633723629,-4.326903545,-4.512225414,-1.783406389,-2.954904322,-3.420667219,0,0,1.282934222,0,5.219750365,2.451521432,0,0,1.495287715,0,2.816537725,2.872817344,0,4.04832489,7.966884398,0,9.79909087,12.50899309,0,0,2.63470924,0,3.859012721,7.926178583,24,23,15.25,10.125,6.875,3.25,1.25,11,8,5,1,0,20,12,10,6,4,50.79489,32.119557,17.084783,52.10519,51.5977,49.55051,32.363372,30.313797,33.84639,15.531438,18.086005,16.603103,0.13076923,0.1,0.15,0.15
4,2156.63,5.08,2.88,1.99,7.99,3,206,-108.939714,41.930465,247.92,7.5799999,Great Divide,1,64.16374,54.52287,0.287096906,1068.725681,0.317779135,0.202469896,2.78640553,2.732834101,2.331374808,2.393625192,4.211354327,4.814170507,4.451113671,4.737583205,51.96774194,210.6148412,154.3774194,61.03548387,-3.894794809,185.645,104.5748387,234.33,56.35483871,30.83870968,0,0,2.35483871,0.032258065,0,0,130,65.09677419,0,0,15.80645161,1.161290323,0,0,5.225806452,81.03225806,31.67741935,19.03225806,21.67741935,116,116.4516129,9,0,24,91,9.193548387,1.096774194,-3.166018682,-4.446613564,-4.520834118,-2.727689665,-3.469709877,-3.730724035,0,0,1.22731646,0,1.183892849,0.810913493,0,0,0.676450616,0,1.734707767,1.581057881,0,0.259888438,3.152009468,0,1.828554025,4.047135759,0,0,0.703636459,0,0,3.209438383,16,14,10.25,7.25,4.375,2.375,1,10,6,2,1,0,11,9,6,3,2,85.12246,6.083244,8.792634,88.83305,86.77739,79.75693,1.003938,5.800781,11.445012,10.16301,7.419332,8.795562,0.1,0.075,0.1,0.125
5,2279.42,3.57,4.49,0.76,1.06,2,116,-108.889465,42.06282,307.69,7.0999999,Great Divide,1,57,39.66667,0.272410898,1024.093429,0.381433671,0.221529018,2.948617512,2.755222734,2.632795699,2.323297491,3.813568868,4.551920123,4.863248848,4.5390681,52.38709677,213.8232854,164.8903226,60.82580645,-4.052723788,152.4348387,20.46790323,162.0104839,81.32258065,37.38709677,0,0,0,0,0,0,131.2580645,59.70967742,0,0,14.06451613,0.677419355,0,0,7.903225806,73.74193548,7.387096774,5.161290323,0,207.9354839,221.2903226,9,0,41,91,7.258064516,1.032258065,-3.701119206,-5.31417268,-5.573594597,-3.350356534,-3.762184598,-3.85906393,0,0,0,0,0.379073293,0.347075662,0,0,0,0,0,0,0,0,0.802305492,0,0,5.577950739,0,0,0.478460469,0,0,0.909342034,27,24,19.75,13.625,6.75,2.5,0.75,18,12,5,2,0,21,17,11,3,2,33.69162,32.744648,33.563733,38.33803,32.32711,30.40971,34.732788,33.250645,30.250512,26.929178,34.422242,39.33978,0.19166667,0.15,0.225,0.2
6,2241.72,3.39,3.95,1.43,3.76,2,370,-109.090356,42.171954,231.63,7.4099998,Green River,1,91.87857,77.69643,0.245924394,1000.961096,0.402651038,0.245703279,2.801728111,2.842626728,2.491666667,2.290143369,3.7593702,5.202880184,4.691935484,4.428725038,52.64516129,232.2320217,184.6483871,59.88064516,-3.780667088,256.1817742,88.91516129,288.5791935,17.77419355,5.903225806,0,0,0.096774194,0,0,0,115.3548387,57.90322581,0,0,22.67741935,1.580645161,0,0,5.193548387,106.6774194,29.74193548,14.06451613,1.548387097,131.516129,75.19354839,12,0,26,91,8.419354839,0.870967742,-2.302368147,-4.468772248,-4.684480314,-2.528972133,-3.273819391,-3.576509356,0,0,0.408290922,0,3.644652968,3.196051817,0,0,1.09617114,0,2.500258615,2.791227531,0,0,5.65436789,0,1.894709678,14.71223023,0,0,2.636935885,0,0,5.388160499,29,26,21.75,15.375,11.125,6,1.625,21,14,9,4,1,22,17,14,9,2,56.04856,19.340798,24.610647,54.35563,54.89195,58.89809,24.74301,18.131175,15.148207,20.90136,26.97688,25.9537,0.175,0.1,0.2,0.225
7,2170.57,2.54,3.74,0.8,1.99,2,310,-107.756685,41.583426,258.82,6.9899998,Washakie,2,78.17553,69.26118,0.230500286,1061.30152,0.352086281,0.209755579,2.877803379,2.417741935,2.072004608,2.064311316,3.953149002,6.057603687,4.879569892,4.055248336,51.96774194,208.1540586,171.416129,50.35806452,-3.919068849,206.6380645,20.44370968,217.0422581,1.129032258,0.032258065,0,0,0,0,0,0,136.9032258,74.58064516,0.064516129,0,17.70967742,1.935483871,0,0,6.290322581,85.93548387,7.903225806,12.48387097,0,172.8387097,5.129032258,8,0,28,91,8.193548387,1.161290323,-4.394786013,-4.859041417,-4.722187995,-3.564776406,-3.796635485,-3.806732562,0,0,0.295247969,0,0.182046221,0,0,0,0.355446786,0,1.785043129,1.890066812,0,0,4.19126818,0,0,2.471689288,0,0,0.915755976,0,0,3.830207616,34,34,26.75,19.875,14,7.125,3,24,17,13,4,1,29,22,17,11,4,64.90083,12.363036,22.736136,66.99525,63.33558,64.37166,14.616528,11.531617,10.940962,18.388223,25.132805,24.68738,0.11818182,0.1,0.125,0.125
8,2193.1,3.63,3.41,2.92,1.04,2,160,-106.493719,41.818223,332.81,6.71,Hanna,2,72.46404,61.34188,0.346217703,1070.015057,0.013104721,0.290034196,2.974500768,2.435138249,2.322081413,2.139554531,4.684101382,5.32937788,4.21702509,4.002572965,54.19354839,290.5026932,207.0967742,102.983871,-3.964225089,710.3917742,752.1395161,890.0503226,20.25806452,5.419354839,0,0,24.4516129,1.580645161,0,0,91.29032258,51.90322581,0.032258065,0,58.77419355,8.258064516,0,0,3.548387097,193.5483871,130.8387097,81.25806452,122.1612903,106.4516129,65.80645161,40,58,23,44,5.548387097,0.774193548,-1.128195671,-3.642807014,-4.198155749,-0.600006884,-2.208776329,-3.342455198,0,3.579697999,9.310780064,7.821441647,12.16141555,7.346706816,0,0,1.524226865,0,4.724736843,6.152447358,0,5.299834521,10.50673372,8.787265014,25.31753519,21.71125189,0,0,1.627252636,0,3.255064539,6.90091189,43,39,28.75,20.25,13.625,6.875,3.625,26,16,12,5,2,33,24,16,9,5,68.35603,13.300551,18.345089,68.88948,68.3122,67.8664,15.574587,13.18876,11.138306,15.53593,18.501538,20.997799,0.10833333,0.125,0.1,0.1
9,1717.37,4.14,5.92,0.85,1.25,2,54,-106.50877,42.597624,343.86,7.6300001,Shirley,1,35,31.93333,0.240420406,1169.248426,0.263043543,0.234028649,3.647388633,3.276766513,2.71578341,2.194201229,3.434178187,4.230721966,3.711597542,4.075422427,51.96774194,260.3873729,206.8935484,65.78387097,-3.996253999,290.0764516,128.4709677,325.253871,39.87096774,23.41935484,1.032258065,0,5.516129032,0.580645161,0,0,144.6129032,92.06451613,2.870967742,0,25.67741935,2.193548387,0,0,6.483870968,100.6774194,31.51612903,22.03225806,21.74193548,165.0322581,103.0967742,11,0,29,91,9,1.225806452,-3.371041777,-4.651049089,-5.079685103,-3.007608625,-3.634210394,-3.866676297,0,0,1.848063096,0,2.175080708,0.969810162,0,0,0,0,3.365990818,3.223403469,0,0,6.562359219,0,2.806799719,6.913256194,0,0,0.270312377,0,0,6.514975708,37,34,24,14.875,8.375,4.75,2.375,19,13,6,3,1,28,17,11,7,4,27.94879,35.397532,36.652845,32.65965,26.57263,24.61409,39.214025,33.235483,33.743088,28.126325,40.189385,41.642825,0.18333333,0.175,0.175,0.2
10,2174.58,3.28,3.91,1.49,0.76,1,200,-106.248039,42.372161,349.65,6.6900001,Shirley,1,79.88571,55.71607,0.349479208,1043.765216,0.153020379,0.361852429,3.137403994,2.816141833,2.45453149,2.053379416,3.352432156,3.874116743,3.676190476,4.084447005,55.83870968,356.9836221,242.7741935,132.7290323,-3.202187364,526.6937097,411.1858065,676.456129,0,0,0,0,9.483870968,0.806451613,0,0,84.35483871,46.41935484,0,0,45.16129032,4.709677419,0,0,3.225806452,173.0645161,93.19354839,58.12903226,39.74193548,91.25806452,0,20,25,17,0,7.35483871,0.064516129,-1.610592952,-3.429398431,-3.771183109,-1.242762245,-2.138311394,-2.626783277,0,3.71894261,8.490423193,8.91586539,12.71676558,6.177219695,0,0,2.333153456,0.457917515,6.924072567,7.412609529,0,11.16687877,21.49026718,0,36.59928288,45.1142363,0,5.126653979,13.4544492,0,10.23111918,20.99473337,22,22,18.75,16.25,11.5,6.75,3.75,18,15,9,3,2,19,18,14,10,5,24.5087,34.087606,41.4037,28.30903,22.82638,22.39068,40.111452,34.606935,27.54443,31.579518,42.566688,50.064895,0.50833333,0.4,0.55,0.575
